Name,Year of release,Aired Date,Aired On,Number of Episode,Network,Duration,Content Rating,Synopsis,Cast,Genre,Tags,Rank,Rating
The Red Sleeve,2021,"Nov 12, 2021 - Jan  1, 2022"," Friday, Saturday",17,"MBC,  Viki ",1 hr. 20 min.,15+ - Teens 15 or older ,"In Korea during the second half of the 1700s, Yi San is an aloof and perfection-loving young prince. His father’s killing haunts him, although it leaves him in the position to take the throne once his grandfather – the cruel and ruthless current king responsible for Yi San’s father’s death – dies. He has resolved to become a benevolent monarch who will reform the law when he eventually takes the throne, but the way his father was killed has scarred him emotionally.","Lee Jun Ho, Lee Se Young, Kang Hoon, Lee Deok Hwa, Park Ji Young, Jang Hee Jin","Historical,  Romance,  Drama,  Melodrama ","Noble Man/Common Woman, Death, Tearjerker, Joseon Dynasty, Strong Male Lead, Male Chases Female First, Smart Female Lead, Master-Servant Relationship, Strong Female Lead, King Male Lead",#33,8.8
Stranger,2017,"Jun 10, 2017 - Jul 30, 2017"," Saturday, Sunday",16,"Netflix,  tvN ",1 hr. 10 min.,15+ - Teens 15 or older ,"Hwang Shi Mok underwent brain surgery as a child to curb his violent temper, which left him devoid of emotions. Hwang becomes a prosecutor known for his piercing intelligence and logic, but he is ostracized because he lacks empathy and social skills. He is also one of only a handful of upright prosecutors who have refused to take bribes. One day, he encounters a stabbing victim while investigating corruption. He meets Lieutenant Han Yeo Jin at the crime scene. They join forces to root out corruption at the prosecutors’ office and solve a serial murder case.","Cho Seung Woo, Bae Doo Na, Lee Joon Hyuk, Yoo Jae Myung, Shin Hye Sun, Choi Jae Woong","Thriller,  Mystery,  Law,  Drama ","Suspense, Investigation, Corruption, Crime Solving Duo, Murder, Calm Male Lead, Alexithymia, Emotionless Male Lead, Strong Female Lead, Smart Female Lead",#34,8.8
Twenty-Five Twenty-One,2022,"Feb 12, 2022 - Apr  3, 2022"," Saturday, Sunday",16,"Netflix,  tvN ",1 hr. 15 min.,15+ - Teens 15 or older ,"In a time when dreams seem out of reach, a teen fencer pursues big ambitions and meets a hardworking young man who seeks to rebuild his life.","Kim Tae Ri, Nam Joo Hyuk, Bona, Choi Hyun Wook, Lee Joo Myung, Seo Jae Hee","Romance,  Life,  Drama,  Melodrama ","Coming Of Age, Nostalgia, Fencing, Nice Male Lead, Friendship, Character Development, Competition, IMF Crisis, High School To Working Life, Reporter Male Lead",#35,8.8
The Uncanny Counter,2020,"Nov 28, 2020 - Jan 24, 2021"," Saturday, Sunday",16,"Netflix,  OCN ",1 hr. 10 min.,15+ - Teens 15 or older ,It tells the story of demon hunters called Counters who come to earth under the guise of being employees at a noodle restaurant in order to capture evil spirits that have returned to earth in pursuit of eternal life.,"Cho Byeong Kyu, Yoo  Joon Sang, Kim Se Jeong, Yeom Hye Ran, Ahn Suk Hwan, Lee Hong Nae","Action,  Mystery,  Drama,  Supernatural ","Special Power, Righteous Male Lead, Found Family, Evil Spirit, Teamwork, Strong Female Lead, Orphan Male Lead, Multiple Mains, Spirit, Childhood Trauma",#36,8.8
Goblin,2016,"Dec  2, 2016 - Jan 21, 2017"," Friday, Saturday",16,tvN ,1 hr. 22 min.,15+ - Teens 15 or older ,"Kim Shin was once an unbeatable general in Goryeo's military who died a tragic death. He now possesses immortality but is tired of living while everyone else around him dies. For 900 years, Kim Shin has searched for his bride, a mortal who can pull out the sword and end his life. One day, he encounters Ji Eun Tak, a positive, upbeat high school student who can see the dead and has gone through tragic events, yet still stays strong. She claims to be the Goblin's bride who can end his immortal life, but what appears to be an easy task, only gets complicated, as the two fall in love.","Gong Yoo, Kim Go Eun, Lee Dong Wook, Yoo In Na, Yook Sung Jae, Lee El","Comedy,  Romance,  Fantasy,  Melodrama ","Supernatural, Older Man/Younger Woman, Interspecies Romance, Dokkaebi, Fate, Bromance, Death, Heartfelt, Tearjerker, Soulmates",#37,8.8
D.P.,2021,"Aug 27, 2021", Friday,6,Netflix ,50 min.,15+ - Teens 15 or older ,"Private soldier Jun Ho is a confused youth who served in the military normally like other Koreans. One day, he suddenly becomes a member of the military defector arrest team. As such, he is tasked with capturing deserters and must grapple with the more troubling cases of why some soldiers feel they have no other choice but go absent without official leave.","Jung Hae In, Koo Kyo Hwan, Kim Sung Kyun, Son Suk Ku, Hong Kyung, Jo Hyun Chul","Action,  Military,  Drama ","Military Abuse, Violence, Bromance, Desertion, Harassment, Dark Fiction, Humiliation, Adapted From A Webtoon, Sexual Assault, Miniseries",#38,8.8
Taxi Driver,2021,"Apr  9, 2021 - May 29, 2021"," Friday, Saturday",16,SBS ,1 hr. 5 min.,18+ Restricted (violence & profanity) ,"Do Gi has lived more honestly than anyone else as an officer in the Special Forces. Yet, when a serial killer murders his mother, he spends his days in agony. While feeling wronged and broken, Do Gi meets Jang Sung Chul, who recruits Do Gi to work for his company, Rainbow Taxi. Far from an ordinary taxi service, Rainbow Taxi is a secret organization that avenges victims whom the law didn’t protect. Here, Do Gi becomes a star driver who delivers satisfying revenge. Meanwhile, Ha Na is a prosecutor who investigates Rainbow Taxi. She is furious with their lawless behavior, but at the same time, she feels confused about seeing them solve cases that the law cannot. Between those who believe that revenge embodies true justice and those who pursue the outlaws, Do Gi seeks what justice truly means.","Lee Je Hoon, Esom, Kim Eui Sung, Pyo Ye Jin, Cha Ji Yeon, Jang Hyuk Jin","Action,  Thriller,  Crime,  Drama ","Revenge, Strong Male Lead, Adapted From A Webtoon, Investigation, Prosecutor Female Lead, Secret Organization, Smart Female Lead, Death Of A Mother, Taxi Driver Male Lead, Police Officer Male Lead",#39,8.8
Kingdom,2019,"Jan 25, 2019", Friday,6,Netflix ,51 min.,18+ Restricted (violence & profanity) ,"No sooner does the Joseon King succumb to smallpox, do the rumors of his death begin. The Cho Clan, the clan of the pregnant Queen and her father, Chief State Councillor Cho Hak Joo, declares the Crown Prince, a traitor.","Joo Ji Hoon, Ryu Seung Ryong, Bae Doo Na, Kim Sung Gyu, Kim Chan Yi, Kim  Sang Ho","Thriller,  Historical,  Horror,  Political ","Joseon Dynasty, Adapted From A Webtoon, Power Struggle, Gore, Strong Male Lead, Survival, Nice Male Lead, Corruption, Zombies, Strong Female Lead",#40,8.8
Missing,2022,"Dec 19, 2022 - Jan 31, 2023"," Monday, Tuesday",14,tvN ,60 min.,15+ - Teens 15 or older ,"3 Gongdan is a village where missing deceased people, including Kang Eun Sil and Oh Il Yong, stay. Meanwhile, Kim Wook, Jang Pan Seok, Lee Jong A, and Detective Shin Joon Ho try to find the bodies of the missing people and chase after the truth behind their deaths.","Go Soo, Heo Joon Ho, Ahn So Hee, Ha Joon, Lee Jung Eun, Kim Dong Hwi","Thriller,  Mystery,  Supernatural ","Village Setting, Swindler Male Lead, Cold Case, Hacker Female Lead, Detective Male Lead, Righteous Male Lead, Slight Comedy, Cheerful Male Lead, Social Justice, Afterlife",#41,8.8
Weightlifting Fairy Kim Bok Joo,2016,"Nov 16, 2016 - Jan 11, 2017"," Wednesday, Thursday",16,MBC ,60 min.,15+ - Teens 15 or older ,"Bok Joo is a weightlifter who is pursuing her dream of winning the gold medal but she then finds romance for the first time in her life. While she is a woman who trains with heavy steel weights, she is also very feminine when it comes to relationships. Focusing solely on weightlifting would jeopardize her relationship but leaving her weightlifting career for love would keep her from attaining her dreams.","Lee Sung Kyung, Nam Joo Hyuk, Lee Jae Yoon, Kyung Soo Jin, Cho Hye Jung, Lee Joo Young","Comedy,  Romance,  Life,  Sports ","Friends To Lovers, Weightlifting, Strong Female Lead, Healing, First Love, Bantering Relationship, Male Chases Female First, Swimming, Slow Burn Romance, Sismance",#42,8.8
Six Flying Dragons,2015,"Oct  5, 2015 - Mar 22, 2016"," Monday, Tuesday",50,SBS ,60 min.,15+ - Teens 15 or older ,"A fictional, historical drama about the ambition, rise and fall of real and fictional characters based around Yi Bang Won. Yi Bang Won was the third king of the Joseon Dynasty in Korea and the father of King Se Jong the Great. He helped his father, King Tae Jo, establish the Joseon Dynasty.  Edit Translation  English Français Português (Portugal) Español","Yoo Ah In, Kim Myung Min, Shin Se Kyung, Byun Yo Han, Yoon Kyun Sang, Chun Ho Jin","Action,  Historical,  Drama,  Political ","Revolution, Power Struggle, Political Intrigue, Sword-fight, Smart Male Lead, Taejong, Scheme, Taejo, Goryeo Dynasty, Bromance",#43,8.8
D.P. Season 2,2023,"Jul 28, 2023", Friday,6,Netflix ,50 min.,15+ - Teens 15 or older ,"This unfolding story ensues when military desertion arrest squad members (DP), Jun Ho and Ho Yeol, run across absurdities and unchangeable reality on a regular basis.","Jung Hae In, Koo Kyo Hwan, Kim Sung Kyun, Son Suk Ku, Kim Ji Hyun, Ji Jin Hee","Action,  Military,  Drama ",Post-traumatic Stress Disorder,#44,8.8
Youth of May,2021,"May  3, 2021 - Jun  8, 2021"," Monday, Tuesday",12,KBS2 ,1 hr. 10 min.,15+ - Teens 15 or older ,"Hee Tae becomes the pride of Gwangju when he enters Seoul National University College of Medicine with top marks. His best friend Kyung Soo, an avid pro-democracy activist, insists that they open an illegal clinic for students on the run from the government. One day, a factory worker is injured during a protest. In exchange for the costs of discreetly transporting himself and the factory worker to his hometown, Hee Tae must go to a meeting with a potential marriage partner arranged by his father. At this meeting, Hee Tae meets Myung Hee, a nurse persevering through the hardships of life. She only agrees to go to this meeting in place of her friend Soo Ryeon, because she needs to come up with the airfare to go study in Germany. However, Myung Hee and Hee Tae end up falling in love. In May of 1980, amidst the heated passion and cries for democracy that reverberated throughout Gwangju, Hee Tae and Myung Hee find themselves in a twist of fate.","Lee Do Hyun, Go Min Si, Lee Sang Yi, Geum Sae Rok, Oh Man Suk, Uhm Hyo Sub","Romance,  Youth,  Drama,  Melodrama ","1980s, Rich Man/Poor Woman, Star Crossed Lovers, Gwangju Uprising, Tearjerker, Nice Male Lead, Strong Female Lead, Smart Female Lead, Forbidden Love, Martial Law",#45,8.8
Life on Mars,2018,"Jun  9, 2018 - Aug  5, 2018"," Saturday, Sunday",16,OCN ,1 hr. 5 min.,15+ - Teens 15 or older ,"As the leader of a crime investigation team, Han Tae Joo has propelled his career and risen through the ranks by trusting data over all else. One day, while investigating a serial murder case, he has an accident. When he wakes up, he suddenly finds himself in the winter of 1988. He doesn't know why, but he's now a detective appointed to work at a police station in a small city. To get back to the present day, Han Tae Joo tries to solve the case.","Jung Kyung Ho, Park Sung Woong, Go Ah Sung, Oh Dae Hwan, Noh Jong Hyun, Jun Suk Ho","Action,  Mystery,  Psychological,  Comedy ","1980s, Police Procedural, Bromance, Calm Male Lead, Smart Male Lead, Strong Female Lead, Coma, Murder, Investigation, Thriller",#46,8.8
The Devil Judge,2021,"Jul  3, 2021 - Aug 22, 2021"," Saturday, Sunday",16,tvN ,1 hr. 15 min.,15+ - Teens 15 or older ,"Set in a dystopian version of present-day Korea where daily life is chaos and society has collapsed to the point that people openly voice their distrust and hatred for their leaders. In this world bereft of law and order, Head Trial Judge Kang signals the need for change. His courtroom is the subject of a reality show where he mercilessly punishes the guilty, earning him the ""Devil Judge"" nickname. As a divisive figure with an aura of mystery that belies his true identity and ambitions, the public is unsure whether he is a true hero or someone, knowingly sowing the seeds of discontent in his courtroom. ","Ji Sung, Kim Min Jung, Park Jin Young, Park Gyu Young, Jeon Chae Eun, Kim Jae Kyung","Mystery,  Law,  Crime,  Drama ","Dystopia, Corruption, Strong Female Lead, Tough Past, Tragic Past, Bromance, Dark Fiction, Manipulative Female Lead, Rivalry, Revenge",#47,8.8
Through the Darkness,2022,"Jan 14, 2022 - Mar 12, 2022"," Friday, Saturday",12,SBS ,1 hr. 10 min.,18+ Restricted (violence & profanity) ,"Back in the 1990s, the citizens of Seoul were gripped with a paralyzing fear after a series of brutal attacks and murders occurred. A mysterious figure dubbed ‘Red Cap’ was stalking women on the streets then killing his prey, seemingly without provocation. His habit of striking at random made it impossible for the detectives to predict his next move. At the top of their minds is what could be triggering him. ","Kim Nam Gil, Jin Seon Kyu, Kim So Jin, Ryeoun, Lee Dae Yeon, Kim Won Hae","Thriller,  Mystery,  Drama ","Investigation, Murder, Empathic Male Lead, Calm Male Lead, Suspense, 1990s, 2000s, Time Skip, Offender Profiling, Kind Male Lead",#48,8.8
Racket Boys,2021,"May 31, 2021 - Aug  9, 2021"," Monday, Tuesday",16,"Netflix,  SBS ",1 hr. 15 min.,15+ - Teens 15 or older ,"A story of a boys' badminton team at a middle school in Haenam as they grow, both as people and as players.","Kim Sang Kyung, Oh Na Ra, Tang Jun Sang, Son Sang Yeon, Choi Hyun Wook, Kim Kang Hoon","Comedy,  Life,  Drama,  Sports ","Badminton, Friendship, Sport Club, Rural Life, Working Mom, Tough Female Lead, Tough Male Lead, Slight Romance, Multiple Mains, Carefree Protagonist",#49,8.7
Beyond Evil,2021,"Feb 19, 2021 - Apr 10, 2021"," Friday, Saturday",16,jTBC ,1 hr. 5 min.,15+ - Teens 15 or older ,"Meet the two fearless men willing to go to extreme lengths in their pursuit of a serial killer that has shaken up their quiet city: Lee Dong Sik, a once capable detective, is now demoted to perform menial tasks at the Manyang Police Substation. Just as he is beginning to settle into a peaceful life, his new superior, Detective Han Joo Won, is transferred in. Joo Won is an elite detective whose father is the star candidate for the National Police Agency’s next chief. Despite his admirable qualities and high social standing, Joo Won harbors a long-held secret.","Shin Ha Kyun, Yeo Jin Goo, Choi Dae Hoon, Kim Shin Rok, Choi Sung Eun, Choi Jin Ho","Thriller,  Mystery,  Psychological,  Drama ","Determined Male Lead, Investigation, Suspense, Murder, Trauma, Psychological Manipulation, Smart Male Lead, Death, Corruption, Mother-Son Relationship",#50,8.7
Dr. Romantic Season 2,2020,"Jan  6, 2020 - Feb 25, 2020"," Monday, Tuesday",16,SBS ,1 hr. 10 min.,15+ - Teens 15 or older ,"A “real doctor” story set in a small, humble hospital called Doldam Hospital. It is a story about people who meet Kim Sa Bu, a genius doctor, and discover “real romance.”","Han Seok Kyu, Ahn Hyo Seop, Lee Sung Kyung, Kim Joo Heon, Shin Dong Wook, So Ju Yeon","Romance,  Drama,  Medical,  Melodrama ","Slow Burn Romance, Healing, Character Development, Surgeon Male Lead, Friends To Lovers, Love/Hate Relationship, Hardworking Female Lead, Hospital Setting, Rich Woman/Poor Man, Smart Female Lead",#51,8.7
The Penthouse,2020,"Oct 26, 2020 - Jan  5, 2021"," Monday, Tuesday",21,SBS ,1 hr. 25 min.,15+ - Teens 15 or older ,"The residents of Hera Palace, a luxury penthouse apartment with 100 floors, have many secrets and hidden ambitions. Sim Su Ryeon, who was born into wealth, is the queen of the penthouse apartment. Cheon Seo Jin, the prima donna of the residence, does all she can to give everything to her daughter. Oh Yoon Hee comes from a poor family background, but she strives to enter high society by becoming the queen of the penthouse, the pinnacle of success in her eyes. A battle for wealth, power, and prestige at Seoul’s most coveted penthouse begins.","Lee Ji Ah, Kim So Yeon, Eugene, Uhm Ki Joon, Bong Tae Kyu, Shin Eun Kyung","Thriller,  Mystery,  Drama ","Motherhood, Revenge, Greed, Jealousy, School Bullying, Multiple Couples, Rich Male Lead, School Rivalry, High Society, Mother-Daughter Relationship",#52,8.7
Dear My Friends,2016,"May 13, 2016 - Jul  2, 2016"," Friday, Saturday",16,tvN ,1 hr. 10 min.,15+ - Teens 15 or older ,"Park Wan is a translator who is constantly pulled by her mother, Jang Nan Hee, to hang out with her elder friends, Jo Hee Ja, Moon Jung Ah, Oh Choong Nam, and Lee Yeong Won. The plot revolves around the friends' twilight years as they are rediscovering themselves through relationships and family, the struggles they face due to their old age, and their life journey that they share with  Park Wan in the hope she would write a novel about them.","Go Hyun Jung, Kim Hye Ja, Na Moon Hee, Go Doo Shim, Park Won Sook, Youn Yuh Jung","Life,  Drama,  Melodrama ","Life Lesson, Mother-Daughter Relationship, Mother-Son Relationship, Sismance, Family Conflict, Multiple Couples, Generational Conflict, Multiple Mains, Friendship, Slight Comedy",#53,8.7
Hometown Cha-Cha-Cha,2021,"Aug 28, 2021 - Oct 17, 2021"," Saturday, Sunday",16,"Netflix,  tvN ",1 hr. 20 min.,15+ - Teens 15 or older ,"After a conflict with her boss, dentist Yoon Hye Jin escapes the city to a seaside village where she'd vacationed to before as a little girl. When she learns the village is without a dentist, she decides to set up her practice there permanently. As the former city-dweller's stiff and guarded demeanor almost immediately rubs the locals the wrong way, in steps the free-spirited jack of all trades, Hong Do Shik. There to help her learn to navigate life in a small village, albeit they don't hit it off well at first.","Shin Min Ah, Kim Seon Ho, Lee Sang Yi, In Gyo Jin, Lee Bong Ryun, Jo Han Chul","Comedy,  Romance,  Life,  Drama ","Nice Male Lead, Nice Female Lead, Cheerful Male Lead, Hardworking Male Lead, Hardworking Female Lead, Jack Of All Trades, Smart Female Lead, Opposites Attract, Character Development, Healing",#54,8.7
Arthdal Chronicles Part 3,2019,"Sep  7, 2019 - Sep 22, 2019"," Saturday, Sunday",6,"Netflix,  tvN ",1 hr. 20 min.,15+ - Teens 15 or older ,"Ta Gon gets what he wants as he sits atop his throne. However, now his life and throne are threatened when Eun Seom begins to gather power among the slaves and peasants of Arth as he starts to fight back against the elite. Although Ta Gon has so far kept his half-Neanthal heritage a secret from the world, his eyes shine purple, preparing to go all out in fighting Eun Seom.","Song Joong Ki, Jang Dong Gun, Kim Ji Won, Kim Ok Bin, Kim Sung Cheol, Kim Eui Sung","Historical,  Romance,  Fantasy,  Political ","Power Struggle, War, Supernatural Power, Strong Female Lead, Curse, Revenge, Superhuman Strength, Pre-produced, Class Conflict, Antihero Male Lead",#55,8.7
Arthdal Chronicles Part 2,2019,"Jun 22, 2019 - Jul  7, 2019"," Saturday, Sunday",6,"Netflix,  tvN ",1 hr. 21 min.,15+ - Teens 15 or older ,"Ta Gon has now become the most powerful man in Arthdal. He has an affectionate relationship only with Taealha, the daughter of the rival Hae Tribe, because of their shared ambitions.","Song Joong Ki, Jang Dong Gun, Kim Ji Won, Kim Ok Bin, Kim Eui Sung, Park Hae Joon","Historical,  Romance,  Fantasy,  Political ","War, Power Struggle, Slavery, Good Twin/Evil Twin, Strong Female Lead, Revenge, Character Development, Father-Daughter Relationship, Strong Male Lead, Political Intrigue",#56,8.7
The Guest,2018,"Sep 12, 2018 - Nov  1, 2018"," Wednesday, Thursday",16,OCN ,1 hr. 7 min.,18+ Restricted (violence & profanity) ,"Yoon Hwa Pyung, a young psychic born into a shaman family, learns about the powerful demon called ""Son"" (Guest). The demon has the power to control other demons and allows them to possess weak people. The possessed people then go mad, kill their families, and stab themselves in the eye. Fatefully, Hwa Pyung, Choi Yoon; a young boy born in a religious Catholic family, and Kang Kil Yeong; the daughter of a detective, meet when their families are killed by a demon.","Kim Dong Wook, Kim Jae Wook, Jung Eun Chae, Lee Won Jong, Park Ho San, Ahn Nae Sang","Thriller,  Mystery,  Horror,  Supernatural ","Exorcism, Death, Demon, Shamanism, Murder, Strong Female Lead, Hot-Tempered Male Lead, Ghost-seeing Male Lead, Orphan Female Lead, Ghost",#57,8.7
Defendant,2017,"Jan 23, 2017 - Mar 21, 2017"," Monday, Tuesday",18,SBS ,1 hr. 10 min.,15+ - Teens 15 or older ,"Park Jung Woo is a prosecutor at Seoul Central District Prosecutors’ Office. One day, he wakes up and finds himself a convict on death row. Suffering from temporary amnesia, Jung Woo has no idea what transpired to land him in prison. He struggles to recover his memory and clear his name before his time is up.  Edit Translation  English Русский Português (Brasil) Français","Ji Sung, Uhm Ki Joon, Kwon Yu Ri, Oh Chang Seok, Uhm Hyun Kyung, Jung Dong Gyu","Thriller,  Mystery,  Law,  Drama ","Murder, Amnesia, Wrongfully Accused, Identity Swap, Bromance, Suspense, Good Twin/Evil Twin, Deception, Competent Male Lead, Power Struggle",#58,8.7
While You Were Sleeping,2017,"Sep 27, 2017 - Nov 16, 2017"," Wednesday, Thursday",32,SBS ,30 min.,15+ - Teens 15 or older ,"Nam Hong Ju lives with her mother, Yoon Moon Sun, a widow who runs a small restaurant. Since Hong Ju was young, she has had the ability to see events—both good and bad—before they occur. However, she is often unable to do anything about them. ","Bae Suzy, Lee Jong Suk, Jung Hae In, Lee Sang Yeob, Hwang Young Hee, Shin Jae Ha","Mystery,  Romance,  Drama,  Fantasy ","Precognition, Nice Male Lead, Murder, Tragic Past, First Love, Steamy Kiss, Childhood Acquaintance, Eccentric Male Lead, Smart Male Lead, Fated Love",#59,8.7
The Penthouse Season 2,2021,"Feb 19, 2021 - Apr  2, 2021"," Friday, Saturday",13,SBS ,1 hr. 15 min.,15+ - Teens 15 or older ,"After successfully framing Oh Yoon Hee, Cheon Seo Jin and Joo Dan Tae decided to get married. Their engagement party is interrupted by Oh Yoon Hee and Ha Yoon Cheol, who has just come back from the United States. As the secrets unveil, the relationships among the people at Hera Palace are entangled, yet another mysterious figure appears and confronts them.","Kim So Yeon, Eugene, Lee Ji Ah, Uhm Ki Joon, Yoon Jong Hoon, Shin Eun Kyung","Thriller,  Mystery,  Drama ","Revenge, Corruption, High Class Society, Greed, Murder, Rich Male Lead, Motherhood, School Bullying, Rich Female Lead, Jealousy",#60,8.7
Our Blues,2022,"Apr  9, 2022 - Jun 12, 2022"," Saturday, Sunday",20,"Netflix,  tvN ",1 hr. 10 min.,15+ - Teens 15 or older ,"""Our Blues"" takes on an omnibus-style drama, which tells the story of diverse characters that are somewhat interconnected, in one way or the other.","Lee Byung Hun, Shin Min Ah, Cha Seung Won, Lee Jung Eun, Uhm Jung Hwa, Han Ji Min","Romance,  Life,  Drama,  Melodrama ","Multiple Mains, Anthology, Island Setting, Middle-Aged Female Lead, Friendship, Slow Burn Story, Depression, Father-Daughter Relationship, Multiple Couples, Middle-Aged Male Lead",#61,8.7
Moon Lovers,2016,"Aug 29, 2016 - Nov  1, 2016"," Monday, Tuesday",20,SBS ,60 min.,15+ - Teens 15 or older ,"When a total eclipse of the sun takes place, Go Ha Jin is transported back in time to the start of the Goryeo Dynasty of Korea during King Taejo's rule. She wakes up in the body of the 16-year-old Hae Soo and finds herself living in the house of the 8th Prince Wang Wook, who is married to Hae Soo's cousin. She soon befriends several of the princes and meets the ostracized 4th Prince, Wang So. Although knowing she should not get involved in palace intrigues over the succession to the throne, she inadvertently becomes a pawn in the struggle, as several of the Princes fall in love with her. ","Lee Joon Gi, IU, Kang Ha Neul, Hong Jong Hyun, Nam Joo Hyuk, Byun Baek Hyun","Historical,  Romance,  Fantasy,  Melodrama ","Child Abandonment, Goryeo Dynasty, Power Struggle, Jealousy, Possessive Male Lead, Sibling Rivalry, Lying, Tearjerker, Death, Gwangjong",#62,8.7
Partners for Justice Season 2,2019,"Jun  3, 2019 - Jul 29, 2019"," Monday, Tuesday",32,MBC ,35 min.,15+ - Teens 15 or older ,"In crime and in life, all contact leaves a trace. There is no perfect crime and our hero and heroine have the ultimate cooperation. This drama continues the tale of a forensic scientist and a prosecutor who make the best of teams.","Jung Jae Young, Jung Yoo Mi, Oh Man Suk, Noh Min Woo, Kang Seung Hyun, Park Jun Gyu","Mystery,  Law,  Drama,  Medical ","Forensic Science, Forensic Medical Examiner Male Lead, Prosecutor Supporting Character, Age Gap [Drama Life], Age Gap [Real Life], Prosecutor Female Lead, Doctor Male Lead, Serial Killings, Teamwork, Rich Female Lead",#63,8.7
Our Beloved Summer,2021,"Dec  6, 2021 - Jan 25, 2022"," Monday, Tuesday",16,"Netflix,  SBS ",60 min.,15+ - Teens 15 or older ,"Years after filming a viral documentary in high school, two bickering ex-lovers get pulled back in front of the camera — and into each other's lives. Choi Woong seems naive and a free-spirited man, but he wants to have something for the first time in his life. For that, he shows what he holds in his mind. Kook Yeon Soo aimed to become the top student at her school, but she is now an adult who lives fiercely, adapting to her reality.","Choi  Woo Shik, Kim Da Mi, Kim Sung Cheol, Roh Jeong Eui, Ahn Dong Goo, Park Jin Joo","Romance,  Life,  Youth,  Drama ","Lovers Reunited, High School Sweethearts, First Love, Healing, Flashback To Past, Love/Hate Relationship, Interview, Coming Of Age, Second Chance Romance, Enemies To Lovers",#64,8.7
Sweet Home,2020,"Dec 18, 2020", Friday,10,Netflix ,52 min.,18+ Restricted (violence & profanity) ,"Following the death of his family in an accident, loner Cha Hyun Soo moves to a new apartment. His quiet life is soon disturbed by strange incidents that start occurring in his apartment, and throughout Korea. As people start to turn into monsters, Hyun Soo and the other residents try to survive.","Song Kang, Lee Jin Wook, Lee Si Young, Lee Do Hyun, Kim Nam Hee, Go Min Si","Action,  Horror,  Drama,  Sci-Fi ","Monsters, Gore, Survival, Character Development, Adapted From A Webtoon, Supernatural Phenomena, Multiple Mains, Trauma, School Bullying, Attempted Suicide",#65,8.7
