Name,Year of release,Aired Date,Aired On,Number of Episode,Network,Duration,Content Rating,Synopsis,Cast,Genre,Tags,Rank,Rating
"Kill Me, Heal Me",2015,"Jan  7, 2015 - Mar 12, 2015"," Wednesday, Thursday",20,MBC ,1 hr. 2 min.,15+ - Teens 15 or older ,"A traumatic childhood experience leaves Cha Do Hyeon, suffering from memory loss and dissociation. The latter has resulted in the creation of seven distinct personalities. Wanting to regain control over his life, he asks Oh Ri Jin, a first-year psychiatric resident, to help him, but she eventually falls in love with one of his personalities. Ri Jin’s twin brother, Oh Ri On, a famous mystery novelist, investigates Do Hyeon and his family. (Source: MyDramaList) Edit Translation  English Arabic Русский Українська","Ji Sung, Hwang Jung Eum, Park Seo Joon, Kim Yoo Ri, Oh Min Suk, Kim Young Ae","Psychological,  Comedy,  Romance,  Drama ","Dissociative Identity Disorder, Trauma, Boss-Employee Relationship, Rich Male Lead, Psychiatry, Nice Male Lead, Mean Male Lead, Rich Man/Poor Woman, Psychiatrist Female Lead, Doctor Female Lead",#66,8.7
The King of Pigs,2022,"Mar 18, 2022 - Apr 22, 2022", Friday,12,TVING ,55 min.,18+ Restricted (violence & profanity) ,Two friends meet up and recall their experiences as victims of school bullying when they receive a message from a friend from 20 years ago and mysterious serial killings begin to occur. ,"Kim Dong Wook, Kim Sung Gyu, Chae Jung An, Choi Hyun Jin, Sim Hyun Seo, Lee Chan Yoo","Thriller,  Mystery,  Drama ","School Bullying, Detective Male Lead, School Violence, Flashback To Past, Revenge, Murder, Detective Female Lead, Childhood Trauma, Child Abuse, Mental Illness",#67,8.7
18 Again,2020,"Sep 21, 2020 - Nov 10, 2020"," Monday, Tuesday",16,jTBC ,1 hr. 10 min.,15+ - Teens 15 or older ,"After nearly twenty years of marriage, Jung Da Jung and Hong Dae Young seem to be well settled in their domestic lives. The proud parents of a pair of eighteen year old twins, the devoted couple have worked hard to build a happy home together. But what seems like an ideal life on the outside is really anything but. Fed up with Dae Young’s incessant nonsense, Da Jung is at her wits’ end. When Dae Young announces that he’s been fired, Da Jung gives up completely. Convinced life would be better without her husband in it, Da Jung wastes no time in filing for divorce.","Kim Ha Neul, Yoon Sang Hyun, Lee Do Hyun, Roh Jeong Eui, Ryeoun, Wi Ha Joon","Romance,  Life,  Drama,  Fantasy ","Second Chance, First Love, Father-Son Relationship, Hardworking Female Lead, Father-Daughter Relationship, Mother-Daughter Relationship, Life Lesson, Becoming Young, Hidden Identity, Character Development",#68,8.7
The Fiery Priest,2019,"Feb 15, 2019 - Apr 20, 2019"," Friday, Saturday",40,SBS ,35 min.,15+ - Teens 15 or older ,"Kim Hae Il is a Catholic priest. He makes spiteful remarks, and he can be rude to others. Koo Dae Young is a detective. He talks a lot, and he is also timid. Park Kyung Sun is a prosecutor. She is smart and beautiful. She is also ambitious as a prosecutor and good at her job.","Kim Nam Gil, Kim Sung Kyun, Lee Ha Nee, Go Jun, Geum Sae Rok, Jeon Sung Woo","Action,  Mystery,  Comedy,  Crime ","Badass Male Lead, Eccentric Male Lead, Sassy Female Lead, Bromance, Aggressive Male Lead, Sismance, Corruption, Character Development, Investigation, Tragic Past",#69,8.7
My Name,2021,"Oct 15, 2021", Friday,8,Netflix ,50 min.,18+ Restricted (violence & profanity) ,"Following her father's murder, a revenge-driven woman puts her trust in a powerful crime boss — and enters the police force under his direction.","Han So Hee, Park Hee Soon , Ahn Bo Hyun, Lee Hak Joo, Kim  Sang Ho, Chang Ryul","Action,  Thriller,  Mystery,  Crime ","Badass Female Lead, Blood, Revenge, Lying, Murder, Double Identity, Hidden Identity, Gang, Gun Violence, Strong Female Lead",#70,8.7
Revenant,2023,"Jun 23, 2023 - Jul 29, 2023"," Friday, Saturday",12,SBS ,1 hr. 10 min.,15+ - Teens 15 or older ,"When the door to another world opens, demons exist there. Ku San Young is possessed by one of those demons. Yeom Hae Sang can see the demon which has possessed Ku San Young. They try to figure out the truth behind the mysterious deaths related to the five sacred objects.","Kim Tae Ri, Oh Jung Se, Hong Kyung, Park Ji Young, Yang Hye Ji, Jin Seon Kyu","Thriller,  Mystery,  Horror,  Supernatural ","Spirit Possession, Occult, Folklore, Spirit, Student Female Lead, Professor Male Lead, Detective Supporting Character, Detective Male Lead, Death, Child Abuse",#71,8.7
Dr. Romantic,2016,"Nov  7, 2016 - Jan 16, 2017"," Monday, Tuesday",20,SBS ,60 min.,15+ - Teens 15 or older ,"Kim Sa Bu was once a famous surgeon at the peak of his career at a major hospital. But he suddenly gives it all up one day to live in seclusion and work as a neighborhood doctor in a small town. He now goes by “Teacher Kim” and refers to himself as the “Romantic Doctor”. Meanwhile, Kang Dong Joo became a doctor to make something of himself after growing up poor, and he seeks out VIP patients to achieve the success that he desperately wants. Yoon Seo Jung is a passionate young surgeon who is haunted by a mistake from her past and tries to get over it. When Dong Joo and Seo Jung meet the quirky Teacher Kim, their lives and careers will never be the same again. Edit Translation  English Arabic Español Română","Han Seok Kyu, Yoo Yeon Seok, Seo Hyun Jin, Choi Jin Ho, Yang Se Jong, Jang Hyuk Jin","Romance,  Drama,  Medical ","Strong Male Lead, Hardworking Female Lead, Smart Male Lead, Hardworking Male Lead, Character Development, Slow Burn Romance, Smart Female Lead, Trauma, Male Chases Female First, Second Chance",#72,8.7
A Business Proposal,2022,"Feb 28, 2022 - Apr  5, 2022"," Monday, Tuesday",12,"Netflix,  SBS ",60 min.,15+ - Teens 15 or older ,"Shin Ha Ri is a single woman who works for a company. She has a male friend, who she has had a crush on for a long time, but she learns he has a girlfriend. Shin Ha Ri feels sad and decides to meet her friend Jin Young Seo, who is a daughter of a chaebol family. Jin Young Seo then asks Shin Ha Ri to take her place on a blind date and even offers some money for her time. Shin Ha Ri accepts her friend's offer. She goes out on a blind date as Jin Young Seo while having the intention of getting rejected by her date. When she sees her blind date, Shin Ha Ri is dumbfounded. Her blind date is Kang Tae Moo. He is the CEO of the company where she works.","Ahn Hyo Seop, Kim Se Jeong, Kim Min Gue, Seol In Ah, Lee Deok Hwa, Choi Byung Chan","Comedy,  Romance,  Drama ","Boss-Employee Relationship, Double Identity, Fake Identity, Blind Date, Contract Relationship, Cheerful Female Lead, Sismance, Company President",#73,8.7
Misaeng,2014,"Oct 17, 2014 - Dec 20, 2014"," Friday, Saturday",20,tvN ,1 hr. 20 min.,15+ - Teens 15 or older ,"Jang Geu Rae has played the game of Go since he was a child. When his plans of becoming a professional Go player fail, the down-and-out Geu Rae is forced to take an office job as an intern set up for him by an acquaintance’s recommendation for him to a large company called One International.","Yim Si Wan, Lee Sung Min, Kang So Ra, Kang Ha Neul, Byun Yo Han, Kim Dae Myung","Business,  Life,  Drama ","Workplace Abuse, Teamwork, Adapted From A Webtoon, Hardworking Male Lead, Smart Female Lead, Strong Female Lead, Nice Male Lead, Hardworking Female Lead, Bromance, Boss-Employee Relationship",#74,8.7
Strong Woman Do Bong Soon,2017,"Feb 24, 2017 - Apr 15, 2017"," Friday, Saturday",16,jTBC ,1 hr. 7 min.,15+ - Teens 15 or older ,"Do Bong Soon is a petite, unemployed woman who is honest and kind. She appears little and sweet on the outside, but she is in fact very, very strong. For generations in her family, the women have been gifted Herculean strength to use for the greater good. If abused, however, their power will be taken away.","Park Bo Young, Park Hyung Sik, Kim Ji Soo, Jun Suk Ho, Shim Hye Jin, Yoo Jae Myung","Action,  Comedy,  Romance,  Supernatural ","Strong Female Lead, Female Lead Action Scenes, Superhuman Strength, Love Triangle, Nice Male Lead, Rich Man/Poor Woman, Father-Daughter Relationship, Gang, Boss-Employee Relationship, Rich Male Lead",#75,8.7
Chicago Typewriter,2017,"Apr  7, 2017 - Jun  3, 2017"," Friday, Saturday",16,tvN ,1 hr. 10 min.,15+ - Teens 15 or older ,This drama follows the lives of two men and a woman through two eras: one during the 1930s Japanese occupation of Korea and the other in the 21st century. The three main characters are:,"Yoo Ah In, Im Soo Jung, Go Kyung Pyo, Kwak Shi Yang, Jo  Woo Jin, Oh Na Ra","Comedy,  Romance,  Supernatural,  Political ","Reincarnation, Hardworking Male Lead, Hardworking Female Lead, Strong Female Lead, Successful Male Lead, Bromance, Flashback To Past, Tragic Past, Character Development, Patriotism",#76,8.7
Hot Stove League,2019,"Dec 13, 2019 - Feb 14, 2020"," Friday, Saturday",16,SBS ,1 hr. 2 min.,15+ - Teens 15 or older ,"About the preparation period of a major league baseball team. The drama focuses on a loser team that prepares for an extraordinary season upon the arrival of their new general manager, and each episode will focus on a problem they have as they prepare to become a stronger team.","Namkoong Min, Park Eun Bin, Cho Byeong Kyu, Oh Jung Se, Son Jong Hak, Kim Do Hyun","Drama,  Sports,  Melodrama ","Hardworking Female Lead, Baseball, Hardworking Male Lead, Teamwork, Successful Male Lead, Tough Male Lead, Corruption, Calm Male Lead, Competition, Smart Male Lead",#77,8.7
Strangers from Hell,2019,"Aug 31, 2019 - Oct  6, 2019"," Saturday, Sunday",10,OCN ,60 min.,15+ - Teens 15 or older ,"Yoon Jong Woo is a young guy in his 20s who moves from the countryside to Seoul after his college friend, Jae Ho, offers him a job. While looking for a place to live, he stumbles upon Eden Gosiwon, a cheap hostel that shares the kitchen and bathroom with other residents. He is not thrilled about the quality of the place or the other abnormal residents, such as his next-door neighbor Seo Moon Jo, a charismatic dentist. Nevertheless, Jong Woo decides to put up with it for 6 months until he saves enough money to move out. However, mysterious events start occurring in the apartment, causing Jong Woo to begin fearing the apartment's residents.","Yim Si Wan, Lee Dong Wook, Lee Jung Eun, Ahn Eun Jin, Park Jong Hwan, Lee Joong Ok","Thriller,  Horror,  Psychological,  Drama ","Adapted From A Webtoon, Murder, Gaslighting, Mental Torment, Mental Illness, Trauma, Torture, Animal Abuse, Hot-Tempered Male Lead, Animal Death",#78,8.7
Bloodhounds,2023,"Jun  9, 2023", Friday,8,Netflix ,60 min.,18+ Restricted (violence & profanity) ,"When reserved rookie boxer Kim Geon Woo squares off against loquacious southpaw Hong Woo Jin, Geon Woo narrowly prevails — but the two former marines become fast friends. As their friendship grows, so do the financial woes that plague Geon Woo’s mother. To save her quaint café from going under, she signs off on a hefty loan. But when it turns out she’s been targeted by Smile Capital — a ruthless loan shark business — Geon Woo and Woo Jin do everything in their power to make it right. Fate intervenes as the pair end up working for a generous money lender whose foster daughter is dead set on taking down the loan sharks.","Woo Do Hwan, Lee Sang Yi, Heo Joon Ho, Park Sung Woong, Kim Sae Ron, Jung Da Eun","Action,  Thriller,  Crime,  Drama ","Strong Male Lead, Bromance, Debt, Boxing, Graphic Violence, Boxer Male Lead, Adapted From A Webtoon, COVID-19, Skilled Fighter, Multiple Mains",#79,8.7
Live,2018,"Mar 10, 2018 - May  6, 2018"," Saturday, Sunday",18,"Netflix,  tvN ",1 hr. 15 min.,15+ - Teens 15 or older ,"The drama revolves around the incidents that occur in the police force and the joy, sorrow, and pain that police officers experience as they try to protect justice.","Jung Yu Mi, Lee Kwang Soo, Bae Sung Woo, Bae Jong Ok, Sung Dong Il, Jang Hyun Sung","Romance,  Life,  Drama ","Teamwork, Violence, Strong Female Lead, Police Officer Female Lead, Police Officer Male Lead, Smart Female Lead, Male Chases Female First, Police Department Setting, Nice Male Lead, Investigation",#80,8.7
Jewel in the Palace,2003,"Sep 15, 2003 - Mar 23, 2004"," Monday, Tuesday",54,MBC ,1 hr. 5 min.,13+ - Teens 13 or older ,"About 500 years ago during the time of Chosun Dynasty, Korea boasted a rigidly hierarchical and male dominated social structure. Based on a true story about a legendary girl, Jang Geum, who became the first woman to be the supreme royal physician of her times. Despite her poor condition as a low class girl in the male dominated society, Jang Geum overcame a series of social discrimination and landed herself as a royal cook, later becoming the royal physician, then ultimately the physician in charge of the king. She was even given by the king the title ""The Great Jang Geum."" The story of her checkered life on her success and breakdown as well as her love story beautifully unfold.","Lee Young Ae, Ji Jin Hee, Hong Ri Na, Im Ho, Yang  Mi Kyung, Kyeon Mi Ri","Food,  Historical,  Romance,  Medical ","Strong Female Lead, Cooking, Royal Rules And Etiquette, Joseon Dynasty, Doctor Female Lead, Orphan Female Lead, Smart Female Lead, Nice Male Lead, Slow Burn Romance, Queen Dowager Supporting Character",#81,8.7
The First Responders,2022,"Nov 12, 2022 - Dec 30, 2022"," Friday, Saturday",12,"ENA,  SBS ",60 min.,18+ Restricted (violence & profanity) ,"Follow the joint operations of a police force and a fire department, who together will tell a thrilling story. ","Kim Rae Won, Son Ho Jun, Gong Seung Yeon, Kang Seo Ha, Hwang Young Hee, Kang Gi Doong","Action,  Thriller,  Mystery,  Drama ","Teamwork, Firefighter Male Lead, Slight Romance, Investigation, Suspense, Paramedic Female Lead, Persistent Male Lead, Escape From Death, Graphic Violence, Firefighter Supporting Character",#82,8.6
Tunnel,2017,"Mar 25, 2017 - May 21, 2017"," Saturday, Sunday",16,OCN ,1 hr. 4 min.,15+ - Teens 15 or older ,"In 1986, Park Gwang Ho works as an excellent and enthusiastic detective. His life changes when he’s pursuing leads in a serial homicide case and then passes through a time portal, which transports him to present day Seoul.  He meets a new partner Kim Sun Jae, an elite detective who happens to be a bit eccentric, but is one highly skilled investigator. The detective duo will also find help in psychology professor, Shin Jae Yi.","Choi Jin Hyuk, Yoon Hyun Min, Lee Yoo Young, Jo Hee Bong, Kim Byung Chul, Kang Ki Young","Thriller,  Mystery,  Sci-Fi,  Fantasy ","Time Travel, Murder, Bromance, Hardworking Male Lead, Hidden Identity, Strong Female Lead, Character Development, Slight Romance, Death, Teamwork",#83,8.6
Descendants of the Sun,2016,"Feb 24, 2016 - Apr 14, 2016"," Wednesday, Thursday",16,KBS2 ,60 min.,15+ - Teens 15 or older ,A love story that develops between a surgeon and a special forces officer.,"Song Joong Ki, Song Hye Kyo, Jin Goo, Kim Ji Won, Lee Seung Joon, Seo Jung Yeon","Action,  Comedy,  Romance,  Melodrama ","Hardworking Male Lead, Multiple Couples, Bromance, Military, Friendship, Gun Violence, Calm Male Lead, Medical, Hardworking Female Lead, Filmed Abroad",#84,8.6
My Perfect Stranger,2023,"May  1, 2023 - Jun 20, 2023"," Monday, Tuesday",16,"KBS2,  ViuTV ",1 hr. 10 min.,15+ - Teens 15 or older ,"Yoon Hae Joon is the youngest anchor to ever work at his broadcasting station. He is calm and straightforward as a journalist and kind in his personal life. On the other hand, Baek Yoon Young dreamed of becoming a writer but wound up working at a publishing company. ","Kim Dong Wook, Jin Ki Joo, Seo Ji Hye, Lee Won Jung, Lee Ji Hyun, Lee Kyu Hoe","Mystery,  Romance,  Drama,  Sci-Fi ","Time Travel, 1980s, Murder, Investigation, Calm Male Lead, Smart Male Lead, Death, News Presenter Male Lead, Editor Female Lead, Journalist Male Lead",#85,8.6
Hotel del Luna,2019,"Jul 13, 2019 - Sep  1, 2019"," Saturday, Sunday",16,tvN ,1 hr. 20 min.,15+ - Teens 15 or older ,"Nestled deep in the heart of Seoul’s thriving downtown sits a curious hotel, the like of which no one has ever seen before. Old beyond measure, the building has stood for millennia, an ever-present testament to the fact that things are not always what they seem. Running this hotel is Jang Man Wol, a greedy, suspicious soul who has spent the past thousand years acting as the establishment’s CEO.","IU, Yeo Jin Goo, Shin Jung Keun, Bae Hae Seon, P.O, Jo Hyun Chul","Horror,  Comedy,  Romance,  Fantasy ","Boss-Employee Relationship, Strong Female Lead, Ghost, Smart Female Lead, Supernatural, Ghost-seeing Male Lead, Death, Flashback To Past, Warm Man/Cold Woman, Healing",#86,8.6
My Liberation Notes,2022,"Apr  9, 2022 - May 29, 2022"," Saturday, Sunday",16,"jTBC,  Netflix ",1 hr. 7 min.,15+ - Teens 15 or older ,"Set in Sanpo Village where more people leave than remain, the three Yeom siblings, Chang Hee, Mi Jung, and Ki Jung, wish to escape from a life rife with uncertainty.","Lee Min Ki, Kim Ji Won, Son Suk Ku, Lee El, Lee Ki Woo, Chun Ho Jin","Romance,  Life,  Drama,  Melodrama ","Slow Burn Story, Introverted Female Lead, Loneliness, Slow Burn Romance, Alcoholic Male Lead, Alcoholism, Multiple Mains, Inner Monologue, Introverted Male Lead, Character Development",#87,8.6
Missing,2020,"Aug 29, 2020 - Oct 11, 2020"," Saturday, Sunday",12,OCN ,1 hr. 10 min.,15+ - Teens 15 or older ,"A village holds the spirits of missing, deceased people. A search to find the missing bodies and discover the truth behind their disappearance occurs.","Go Soo, Heo Joon Ho, Ahn So Hee, Ha Joon, Seo Eun Soo, Song Geon Hee","Thriller,  Mystery,  Supernatural ","Ghost-seeing Male Lead, Spirit, Missing Person, Bromance, Social Justice, Righteous Male Lead, Death, Ghost, Childhood Friends' Relationship, Village Setting",#88,8.6
Law School,2021,"Apr 14, 2021 - Jun  9, 2021"," Wednesday, Thursday",16,"jTBC,  Netflix ",1 hr. 5 min.,15+ - Teens 15 or older ,"When a grim incident occurs at their prestigious school, justice through law is put to the test by a tough law professor and his ambitious students.","Kim Myung Min, Kim Bum, Ryu Hye Young, Lee Jung Eun, Lee Soo Kyung, David Lee","Mystery,  Law,  Crime,  Drama ","Smart Male Lead, University, Death, Hardworking Female Lead, Rich Male Lead, Nice Male Lead, Slow Burn Romance, Poor Female Lead, Uncle-Nephew Relationship, Nepotism",#89,8.6
Children of Nobody,2018,"Nov 21, 2018 - Jan 16, 2019"," Wednesday, Thursday",32,MBC ,30 min.,15+ - Teens 15 or older ,"Cha Woo Kyung is a child counselor who works at a children’s center. Her life seems perfect since she is married to a great husband and is pregnant. However, her perfect life doesn't last long, when an accident changes her life. She then meets Kang Ji Hun, a detective who is strict toward criminals and believes they should be punished to the full extent.","Kim Sun Ah, Lee Yi Kyung, Nam Gyu Ri, Cha Hak Yeon, Joo Seok Tae, Na Young Hee","Thriller,  Mystery,  Psychological,  Drama ","Trauma, Child Abuse, Smart Female Lead, Murder, Tragic Past, Psychiatry, Child Abandonment, Domestic Violence, Strong Female Lead, Hallucination",#90,8.6
Ghost Doctor,2022,"Jan  3, 2022 - Feb 22, 2022"," Monday, Tuesday",16,tvN ,1 hr. 10 min.,15+ - Teens 15 or older ,"Cha Young Min is a genius doctor, with excelling skills at surgery, but he is arrogant and selfish. One day, he gets involved in an accident and due to this, his spirit possesses another doctor's body, Seung Tak. These two doctors are complete opposites, with opposite personalities and medical abilities.","Rain, Kim Bum, Uee, Son Na Eun, Sung Dong Il, Tae In Ho","Comedy,  Medical,  Fantasy,  Supernatural ","Doctor Male Lead, Spirit, Bromance, Ghost, Spirit Possession, Doctor Female Lead, Arrogant Male Lead, Ghost-seeing Male Lead, Rich Male Lead, Slight Romance",#91,8.6
"It's Okay, That's Love",2014,"Jul 23, 2014 - Sep 11, 2014"," Wednesday, Thursday",16,SBS ,60 min.,15+ - Teens 15 or older ,"Despite being a bit of a prickly pear, Jang Jae Yeol has become famous for authoring mystery novels and for hosting a popular radio show. While sitting on a talk show panel with psychiatrist Ji Hae Soo, it became clear to all that the two just rubbed each other the wrong way. ","Zo In Sung, Gong Hyo Jin, Sung Dong Il, Lee Kwang Soo, Jin Kyung, Lee Sung Kyung","Psychological,  Comedy,  Romance,  Drama ","Strong Female Lead, Psychiatry, Trauma, Healing, Adult Romance, Melodrama, Cohabitation, Rich Male Lead, Hallucination, Cheerful Male Lead",#92,8.6
Eulachacha Waikiki,2018,"Feb  5, 2018 - Apr 17, 2018"," Monday, Tuesday",20,jTBC ,1 hr. 5 min.,15+ - Teens 15 or older ,"Three very different young men – Dong Goo, the bad luck incarnate who dreams of becoming a film director; Joon Ki, an eccentric actor who performs to make a living; and Doo Shik, a freelance writer who fiddles around doing nothing most of the time - open a guest house named “Waikiki” in Itaewon where many foreigners come to stay. Although they have no clue how to run it, they’re eager to earn money to pay for the production of their upcoming film.","Kim Jung Hyun, Lee Yi Kyung, Son Seung Won, Jung In Sun, Go Won Hee, Lee Joo Woo","Comedy,  Romance,  Life,  Drama ","Bromance, Friends To Lovers, Motherhood, Cohabitation, Babysitting, Multiple Couples, Mother-Daughter Relationship, Nice Male Lead, Clumsy Female Lead, Secret Crush",#93,8.6
Once Again,2020,"Mar 28, 2020 - Sep 13, 2020"," Saturday, Sunday",100,KBS2 ,35 min.,15+ - Teens 15 or older ,"""Once Again"" is the story of the eventful Song family who can’t get a day of peace and their neighbors in Yongju Market. ","Chun Ho Jin, Cha Hwa Yun, Lee Jung Eun, Oh Dae Hwan, Lee Min Jung, Lee Sang Yeob","Comedy,  Romance,  Life,  Drama ","Family Relationship, Big Family, Multiple Couples, Multiple Mains, Heartwarming, Love/Hate Relationship, Bickering Mains' Relationship, Married Life, Second Chance Romance, Secret Romance",#94,8.6
Good Manager,2017,"Jan 25, 2017 - Mar 30, 2017"," Wednesday, Thursday",20,KBS2 ,60 min.,15+ - Teens 15 or older ,"Can corporate politics turn a bad person into a good person? Kim Sung Ryong is a skilled accountant who works for gangsters. He makes his way into a company called TQ Group as a middle manager in the accounting department with the intention of embezzling money from the company. As he contends with hot-shot accountant Yoon Ha Kyung, financial prodigy Seo Yul and peppy intern Hong Ga Eun, Sung Ryong finds himself embroiled in office politics and notices other shenanigans by those in power that threaten to bring down the company. Sung Ryong slowly comes to realize that he’d rather fight against corporate corruption and fight for employees’ rights than complete the mission he originally came to do. Can he succeed at his new objective against all odds?","Namkoong Min, Nam Sang Mi, Lee Jun Ho, Jung Hye Sung, Kim Won Hae, Kim Kang Hyun","Business,  Comedy,  Crime,  Drama ","Eccentric Male Lead, Corruption, Social Satire, Bromance, Smart Male Lead, Revenge, Enemy Mine, Smart Female Lead, Strong Female Lead, Character Development",#95,8.6
Empress Ki,2013,"Oct 28, 2013 - Apr 29, 2014"," Monday, Tuesday",51,MBC ,1 hr. 5 min.,15+ - Teens 15 or older ,"Genghis Khan built an empire that spanned vast regions in East Asia and East Europe. And there was one woman who held immense power in the Yuan Dynasty, which Genghis Khan founded, for 37 years. She was neither of Mongol descent nor from the Han Chinese. She came from Goryeo, a small kingdom in the Far East. She was taken to Mongol against her will as a Gungnyeo (palace women) but somehow overcame her lowly status to become the last  empress in another land. Her name was Empress Ki.","Ha Ji Won, Ji Chang Wook, Joo Jin Mo, Baek Jin Hee, Jin Yi Han, Kim Seo Hyung","Historical,  Romance,  Melodrama,  Political ","Smart Female Lead, Strong Female Lead, Power Struggle, Possessive Male Lead, Love Triangle, Yuan Dynasty, Revenge, Cross-Dressing, Goryeo Dynasty, Female Lead Action Scenes",#96,8.6
Love to Hate You,2023,"Feb 10, 2023", Friday,10,Netflix ,52 min.,15+ - Teens 15 or older ,"Yeo Mi Ran works as a novice lawyer at Gilmu Law Firm, a company that primarily serves the entertainment industry. She has no interest in pursuing a romantic relationship and detests losing to men in any competition.","Kim Ok Bin, Yoo Teo, Kim Ji Hoon, Go Won Hee, Lee Joo Bin, Kim Sung Ryung","Comedy,  Law,  Romance ","Badass Female Lead, Enemies To Lovers, Actor Male Lead, Social Issues, Strong Female Lead, Famous Male Lead, Gender Discrimination, Skilled Fighter, Famous Lead/Common Lead, Contract Relationship",#97,8.6
Go Back Couple,2017,"Oct 13, 2017 - Nov 18, 2017"," Friday, Saturday",12,KBS2 ,1 hr. 10 min.,15+ - Teens 15 or older ,"38-years-old married couple, Choi Ban Do and Ma Jin Joo, were in love when they got married but now, hate each other and regret marrying at such a young age. Choi Ban Do has been burdened with being the breadwinner, and Ma Jin Joo is a housewife with low self-esteem. The couple travels through time and finds themselves as 20-year-old university students when they met for the first time.","Jang Na Ra, Son Ho Jun, Heo Jung Min, Han Bo Reum, Jang Ki Yong, Go Bo Gyeol","Comedy,  Romance,  Life,  Fantasy ","Time Travel, Love/Hate Relationship, Mother-Daughter Relationship, Misunderstanding, Failing Marriage, 1990s, Sismance, Bromance, Second Chance Romance, Sassy Female Lead",#98,8.6
The Bridal Mask,2012,"May 30, 2012 - Sep  6, 2012"," Wednesday, Thursday",28,KBS2 ,1 hr. 5 min.,15+ - Teens 15 or older ,"Lee Kang To is an ambitious and callous Korean officer employed by the Japanese colonists. Despite his mother's disapproval of his work and his own brother's antagonistic history with the Japanese, Kang To continues to play by the colonist's rules in hopes of becoming successful and bringing his family out of poverty. However, a mysterious figure wearing a traditional Bridal Mask always seems to get in Kang To's way. The Bridal Mask appears as a Zorro-like figure who protects the people from the Japanese colonists' oppression and abuse of power. An unexpected turn of events brings Kang To to cross paths with the mysterious Bridal Mask, changing his future and the nation's history forever. ","Joo Won, Jin Se Yeon, Park Ki Woong, Han Chae Ah, Shin Hyun Joon, Chun Ho Jin","Action,  Historical,  Romance,  Political ","Japanese Colonial Rule, Hidden Identity, Rebellion, Revenge, Love Triangle, Murder, First Love, Adapted From A Manhwa, Investigation, Drama",#99,8.6
My Father Is Strange,2017,"Mar  4, 2017 - Aug 27, 2017"," Saturday, Sunday",52,KBS2 ,1 hr. 6 min.,15+ - Teens 15 or older ,"This drama is about a family that lives on the outskirts of Seoul. Byun Han Soo is the father and His wife, Na Yeong Shil is a dedicated, responsible mother to his three daughters and one son including Hye Yeong, Mi Yeong, Ra Yeong, and Joon Young. Suddenly one day, Ahn Joong Hee shows up at the household and declares that he is the son of the family. Joong Hee is an actor who used to be a member of an idol group. He begins to live with them.","Kim Yeong Cheol, Kim Hae Sook, Ryu Soo Young, Lee Yoo Ri, Lee Joon, Jung So Min","Comedy,  Romance,  Drama ","Family Secret, Eccentric Female Lead, Fake Incest, Multiple Couples, Strong Female Lead, Father-Daughter Relationship, Mother-Daughter Relationship, Mother-Son Relationship, Father-Son Relationship, Evil Mother-in-Law",#100,8.6
